Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute,6438,0,17,62.6127986449172,13.58580800024356,976.9436840001617,82.30102516309412,21.489126671531245,0.0,17,28,60,94,190,270,390,450,690,980,980
GET,/api/data,4836,0,20,33.85642721815535,6.302798999968218,501.8152669999836,51.29590570719603,16.14187893499924,0.0,20,24,26,27,82,140,200,260,390,500,500
GET,/api/payload (1MB),3277,0,6,17.136414547754317,3.1815820002520923,452.7155539999512,1016879.305157156,10.938159071545183,0.0,6,8,9,13,41,74,140,180,350,450,450
GET,/api/stream (chunked),1568,0,2004.6488720004163,2061.9089807200276,2004.6488720004163,2616.431136999836,383.08035714285717,5.233760581075022,0.0,2000,2100,2100,2100,2200,2200,2300,2400,2600,2600,2600
,Aggregated,16119,0,17,239.22452955797345,3.1815820002520923,2616.431136999836,206817.5491035424,53.80292525915069,0.0,17,26,59,100,500,2000,2100,2200,2400,2600,2600
