Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute,6850,0,15,31.902455554296388,8.054329999140464,889.1955419967417,83.33372262773723,22.869394711584032,0.0,15,15,16,22,68,130,240,350,690,890,890
GET,/api/data,5199,0,17,20.26344817295694,6.300355998973828,536.7702900039149,52.340065397191765,17.357369796427065,0.0,17,20,22,23,26,27,74,130,320,540,540
GET,/api/payload (1MB),3542,0,6,8.606283020056564,3.0259299965109676,274.29020999989007,1016880.3246753247,11.825313294661408,0.0,6,6,7,7,8,13,58,93,240,270,270
GET,/api/stream (chunked),1659,0,2004.6251870007836,2024.9378191362005,2004.6251870007836,2667.208856997604,393.29716696805303,5.538733697301885,0.0,2000,2000,2000,2000,2100,2100,2200,2200,2500,2700,2700
,Aggregated,17250,0,15,215.28908892766066,3.0259299965109676,2667.208856997604,208886.1183768116,57.59081149997439,0.0,15,18,23,26,360,2000,2000,2100,2200,2500,2700
