Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute,6008,0,22,102.7311697170396,13.597999997728039,1180.928710004082,83.50882157123834,20.05334990472697,0.0,22,71,130,180,320,430,580,670,980,1200,1200
GET,/api/data,4507,0,20,49.673187190823825,6.271279002248775,869.6338009976898,52.49988906145995,15.043350203163191,0.0,20,24,26,53,150,230,320,380,530,870,870
GET,/api/payload (1MB),2975,0,5,26.042990624088258,3.105869996943511,506.19961300253635,1016880.4887394957,9.929879488442532,0.0,5,6,10,24,81,150,220,280,420,510,510
GET,/api/stream (chunked),1462,0,2100.0,2118.8516595601905,2004.9897369972314,3220.6299919998855,394.86320109439123,4.879826491463187,0.0,2100,2100,2200,2200,2300,2400,2600,2700,3100,3200,3200
,Aggregated,14952,0,19,268.61456298238835,3.105869996943511,3220.6299919998855,202416.73903156767,49.90640608779588,0.0,19,54,130,190,740,2100,2200,2300,2700,3100,3200
