Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/data (chaos-500),9669,9669,1,0.9480377797093751,0.5686880001576355,28.425430999959644,19.94621987796049,32.299611990428616,32.299611990428616,1,1,1,1,1,1,2,2,4,28,28
GET,/api/data (chaos-delay-10000ms),1584,1584,1,41.96503704671871,0.5955999999969208,5002.248438999914,19.967171717171716,5.291404012083869,5.291404012083869,1,1,1,1,1,1,1,3,5000,5000,5000
GET,/api/data (chaos-delay-6000ms),1611,1611,1,63.01543431781309,0.5620039999030269,5002.033397999867,19.95034140285537,5.38159839865348,5.38159839865348,1,1,1,1,1,1,1,5000,5000,5000,5000
GET,/api/data (chaos-delay-8000ms),1555,1555,1,36.31425249903803,0.5807959998946899,5004.863113999932,19.971704180064307,5.194528559842435,5.194528559842435,1,1,1,1,1,1,1,3,5000,5000,5000
GET,/api/data (normal),28901,28517,1,1.1353742343174666,0.5391810000219266,33.740878999992674,20.42628282758382,96.54473949067922,95.2619748816892,1,1,1,1,1,1,2,12,25,27,34
GET,/health,4934,4856,1,0.9446371582922855,0.5974079999759851,10.032830000000104,19.71544385893798,16.482189012387504,16.221627451186407,1,1,1,1,1,1,2,2,4,10,10
,Aggregated,48254,47792,1,5.618187378891605,0.5391810000219266,5004.863113999932,20.211795913292164,161.19407146407514,159.650745293884,1,1,1,1,1,1,2,4,27,5000,5000
