Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute (chaos-500),1260,1260,2,2.2863001287496734,1.6845140053192154,16.924780000408646,16.0,4.2081701175866835,4.2081701175866835,2,2,2,2,3,3,4,4,14,17,17
GET,/api/compute (chaos-delay-10000ms),430,430,5001.127058996644,5001.863729632573,5001.127058996644,5003.33484300063,16.0,1.436121548065297,1.436121548065297,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/compute (chaos-delay-6000ms),409,409,5001.11341199954,5001.895805699464,5001.11341199954,5004.123329999857,16.0,1.3659853794388521,1.3659853794388521,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/compute (chaos-delay-8000ms),423,423,5001.115502003813,5001.873420964456,5001.115502003813,5012.570425002195,16.0,1.4127428251898153,1.4127428251898153,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/api/compute (normal),23774,0,3,2.82819146952948,2.1215309971012175,86.77716799866175,82.49873811727097,79.40082252024271,0.0,3,3,3,3,3,4,4,6,18,77,87
GET,/health,1369,0,2,2.1107666209649882,1.5902769955573604,18.866323996917345,2.0,4.572210230933468,0.0,2,2,2,2,2,3,3,4,8,19,19
,Aggregated,27665,2522,3,230.81066499201145,1.5902769955573604,5012.570425002195,72.45309958431231,92.39605262145683,8.423019870280648,3,3,3,3,3,8,5000,5000,5000,5000,5000
