Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute (chaos-500),2247,2247,1,0.8653729357755638,0.4068329944857396,207.25422699615592,19.70983533600356,7.5043601584769775,7.5043601584769775,1,1,1,1,1,1,2,2,5,210,210
GET,/api/compute (chaos-delay-10000ms),722,722,1,430.14044759683736,0.39873299829196185,10002.363795996644,19.662049861495845,2.4112808341879743,2.4112808341879743,1,1,1,1,1,5000,5000,5000,10000,10000,10000
GET,/api/compute (chaos-delay-6000ms),671,671,1,373.3287247957721,0.446386999101378,10002.108364002197,19.70789865871833,2.2409549026871614,2.2409549026871614,1,1,1,1,1,5000,5000,5000,10000,10000,10000
GET,/api/compute (chaos-delay-8000ms),759,759,1,382.8419482517817,0.4394470015540719,5002.213450999989,19.69433465085639,2.5348506276297402,2.5348506276297402,1,1,1,1,1,5000,5000,5000,5000,5000,5000
GET,/api/compute (normal),39371,36340,1,0.7904880338053517,0.380493002012372,18.6216020010761,24.81298417617028,131.48827939448023,121.36557550469665,1,1,1,1,1,2,2,2,5,18,19
GET,/health,2226,2030,1,0.7315154182426034,0.4112800015718676,3.1972069991752505,18.41509433962264,7.434225951388408,6.779640018561755,1,1,1,1,1,1,1,1,3,3,3
,Aggregated,45996,42769,1,19.269874922006597,0.380493002012372,10002.363795996644,24.014262109748675,153.6139518688505,142.83666204624026,1,1,1,1,1,2,2,2,5000,5000,10000
