Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute,6182,0,15,70.00522559948574,13.647072999447118,897.6485309995041,82.49352960207052,20.635566649421886,0.0,15,20,40,80,230,360,500,600,790,900,900
GET,/api/data,4703,0,18,35.87370452392771,6.481962999714597,591.7901930006337,51.50095683606209,15.698652531904097,0.0,18,22,24,25,86,180,260,320,480,590,590
GET,/api/payload (1MB),3120,0,6,19.714516017307187,3.040014999896812,445.90179399983754,1016879.5057692308,10.41458556230933,0.0,6,7,8,9,43,110,180,230,380,450,450
GET,/api/stream (chunked),1572,0,2004.6531839998352,2087.4809116405886,2004.6531839998352,3346.79770799994,385.01908396946567,5.2473488794712395,0.0,2000,2000,2100,2100,2300,2400,2600,2700,3000,3300,3300
,Aggregated,15577,0,15,253.22691276273125,3.040014999896812,3346.79770799994,203763.33645759773,51.99615362310655,0.0,15,23,48,120,2000,2000,2100,2300,2700,3000,3300
