Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute,6314,0,11,51.25698002470546,8.102215000008073,1182.2847050000291,83.0,21.07621286623064,0.0,11,16,36,62,170,260,360,430,600,1200,1200
GET,/api/data,4705,0,18,28.542542205312856,6.414790999997422,482.43065599990587,52.0,15.705350259045797,0.0,18,22,24,25,41,110,180,250,410,480,480
GET,/api/payload (1MB),3278,0,7,14.096612406650639,3.9725499998439773,307.7346120001039,1016880.0,10.942005982816605,0.0,7,8,8,9,21,64,100,160,270,310,310
GET,/api/stream (chunked),1650,0,2004.613733000042,2052.643535463032,2004.613733000042,2656.720363999966,390.0,5.5077211322902375,0.0,2000,2000,2000,2100,2200,2300,2400,2500,2700,2700,2700
,Aggregated,15947,0,15,243.99572094657316,3.9725499998439773,2656.720363999966,209114.24481093622,53.23129024038328,0.0,15,22,36,80,2000,2000,2100,2200,2500,2700,2700
