Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/data (spike),209795,0,900.0,1632.835627998687,8.530152000275848,11160.657749000165,52.00001429967349,1169.5460310009894,0.0,900,1100,1300,1500,2200,9700,10000,10000,11000,11000,11000
,Aggregated,209795,0,900.0,1632.835627998687,8.530152000275848,11160.657749000165,52.00001429967349,1169.5460310009894,0.0,900,1100,1300,1500,2200,9700,10000,10000,11000,11000,11000
