Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/compute,6542,0,16,53.16827928615049,13.479520000146294,842.1459690002848,82.44970956893916,21.840634741033536,0.0,16,24,47,72,150,230,330,390,600,840,840
GET,/api/data,4900,0,19,26.86428628530324,6.245112000215158,446.8974619999244,51.44571428571429,16.358775639111027,0.0,19,22,24,25,38,96,160,200,370,450,450
GET,/api/payload (1MB),3300,0,6,14.119633023644354,3.5517510000317998,355.5918689999089,1016879.4796969697,11.01713461409518,0.0,6,7,9,9,25,64,120,170,270,360,360
GET,/api/stream (chunked),1607,0,2005.0067990005118,2057.065064184814,2005.0067990005118,2809.497525000097,384.6048537647791,5.365010704500289,0.0,2000,2000,2100,2100,2200,2300,2400,2400,2700,2800,2800
,Aggregated,16349,0,16,234.37275876267734,3.5517510000317998,2809.497525000097,205340.49868493486,54.58155569874003,0.0,16,24,40,78,480,2000,2100,2200,2400,2700,2800
